time_s,temperature_C,feedrate_mms,extrusion_force_N,die_diameter_px,die_temperature_C,measured_temperature_C,measured_feedrate_mms,meter_count_mm
3309.4999999980855,227.5,1.842166666666667,13.127100000000002,19.818096160888672,192.9,227.16,1.77547944513098,5913.9872234853065
3309.5999999980854,227.5,1.842166666666667,13.12808,19.650957107543945,193.0,227.16,1.8616208504126386,5914.256772134984
3309.6999999980853,227.5,1.842166666666667,13.132000000000001,19.8203067779541,192.79999,227.16,1.9200696436905493,5914.436471234769
3309.7999999980852,227.5,1.842166666666667,13.141800000000002,19.63739776611328,193.0,227.12,1.8576382539893352,5914.616170334555
3309.899999998085,227.5,1.842166666666667,13.146700000000001,19.63739776611328,193.0,227.12,1.787994858532152,5914.79586943434
3309.999999998085,227.5,1.842166666666667,13.14572,19.824861526489258,192.9,227.12,1.7796827984508516,5914.975568534124
3310.099999998085,227.5,1.842166666666667,13.138860000000003,19.578046798706055,192.79999,227.1,1.875970268635078,5915.245117183803
3310.199999998085,227.5,1.842166666666667,13.12906,19.593896865844727,192.79999,227.1,1.8926500257996763,5915.424816283589
3310.299999998085,227.5,1.842166666666667,13.117300000000002,19.66888427734375,193.0,227.08,1.8669019925584376,5915.604515383374
3310.3999999980847,227.5,1.842166666666667,13.09378,19.66888427734375,192.79999,227.08,1.7825387755995667,5915.784214483158
3310.4999999980846,227.5,1.842166666666667,13.081040000000002,19.588590621948242,192.79999,227.08,1.7826595067811093,5915.963913582945
3310.5999999980845,227.5,1.842166666666667,13.062420000000001,19.610198974609375,192.79999,227.08,1.8656751729498962,5916.233462232623
3310.6999999980844,227.5,1.842166666666667,13.04968,19.58024024963379,192.79999,227.08,1.8033980025611693,5916.413161332408
3310.7999999980843,227.5,1.842166666666667,13.042820000000003,19.526151657104492,192.70001,227.08,1.7996088110002804,5916.5928604321925
3310.8999999980842,227.5,1.842166666666667,13.044780000000001,19.526151657104492,192.70001,227.08,1.7893964459338785,5916.772559531979
3310.999999998084,227.5,1.842166666666667,13.05752,19.490447998046875,192.70001,227.08,1.871716716867547,5917.042108181658
3311.099999998084,227.5,1.842166666666667,13.071240000000001,19.470134735107422,192.79999,227.08,1.7913005152953962,5917.221807281442
3311.199999998084,227.5,1.842166666666667,13.083000000000002,19.457937240600586,192.79999,227.13,1.7986850715539,5917.401506381228
3311.299999998084,227.5,1.842166666666667,13.089860000000002,19.386369705200195,192.70001,227.13,1.786861535542892,5917.581205481013
3311.399999998084,227.5,1.842166666666667,13.089860000000002,19.289676666259766,192.70001,227.23,1.790400748586534,5917.7609045807985
3311.4999999980837,227.5,1.842166666666667,13.083000000000002,19.289676666259766,192.79999,227.23,1.7971278741185719,5917.940603680583
3311.5999999980836,227.5,1.842166666666667,13.07418,19.263410568237305,192.79999,227.23,1.7970507471928552,5918.210152330262
3311.6999999980835,227.5,1.842166666666667,13.070260000000001,18.321775436401367,193.0,227.32,1.8017907385787102,5918.389851430047
3311.7999999980834,227.5,1.842166666666667,13.064380000000002,18.329328536987305,192.79999,227.32,1.7863113846740062,5918.569550529833
3311.8999999980833,227.5,1.842166666666667,13.061440000000003,18.36239242553711,192.9,227.41,1.7893412207348245,5918.749249629617
3311.9999999980832,227.5,1.842166666666667,13.058500000000002,18.36239242553711,193.0,227.41,1.8695645020901674,5919.018798279296
3312.099999998083,227.5,1.842166666666667,13.065360000000002,18.370798110961914,193.0,227.51,1.8671219698707642,5919.198497379081
3312.199999998083,227.5,1.842166666666667,13.07418,18.336734771728516,193.0,227.51,1.8640902927980438,5919.378196478867
3312.299999998083,227.5,1.842166666666667,13.0928,18.356290817260742,193.0,227.51,1.8072307598526633,5919.557895578651
3312.399999998083,227.5,1.842166666666667,13.103580000000003,18.187192916870117,193.0,227.51,1.849623310553649,5919.737594678437
3312.499999998083,227.5,1.842166666666667,13.114360000000001,18.187192916870117,193.0,227.51,1.7928844576518952,5919.917293778222
3312.5999999980827,227.5,1.842166666666667,13.11044,18.129318237304688,193.0,227.61,1.863133848298894,5920.1868424279
3312.6999999980826,227.5,1.842166666666667,13.095740000000001,18.13029670715332,193.0,227.61,1.7864684260804335,5920.366541527685
3312.7999999980825,227.5,1.842166666666667,13.07712,18.15724754333496,193.20001,227.7,1.8030599295344074,5920.546240627471
3312.8999999980824,227.5,1.842166666666667,13.054580000000001,18.206674575805664,193.1,227.7,1.776227268796447,5920.725939727256
3312.9999999980823,227.5,1.842166666666667,13.034,18.206674575805664,193.0,227.7,1.7870907045944804,5920.905638827041
3313.0999999980822,227.5,1.842166666666667,13.019300000000003,18.166290283203125,193.1,227.77,1.8723041771243671,5921.175187476719
3313.199999998082,227.5,1.842166666666667,13.009500000000001,18.165328979492188,193.0,227.77,1.7892829097150516,5921.354886576505
3313.299999998082,227.5,1.842166666666667,13.007540000000002,18.15982437133789,193.0,227.82,1.798316777397332,5921.534585676291
3313.399999998082,227.5,1.842166666666667,13.011460000000001,18.17891502380371,193.1,227.82,1.8301410684656803,5921.714284776075
3313.499999998082,227.5,1.842166666666667,13.021260000000002,18.167909622192383,193.20001,227.86,1.789209543633427,5921.8939838758615
3313.599999998082,227.5,1.842166666666667,13.038900000000002,18.167909622192383,193.29999,227.86,1.8188349891952775,5922.163532525539
